#-------------------------------------------
# Food Diary Report - Detailed Report,"суббота, июня 20, 2026"
#-------------------------------------------

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"суббота, июня 20, 2026",3250,"170,4",,"274,9",,,"138,45",,,
 Завтрак,455,"6,6",,"87,8",,,10,,,
  Зеленая Линия  Квас,96,0,,24,,,0,,,
   300 г
  Хэлси Фуд Шарлотка,359,"6,6",,"63,8",,,10,,,
   200 г
 Обед,1443,"88,8",,"92,3",,,"62,15",,,
  Здрасте Кесадилья с Курицей,668,48,,45,,,33,,,
   300 г
  Здрасте Сет Брускетт,391,"16,8",,"23,8",,,"8,4",,,
   140 г
  Здрасте Завтрак с Тунцом,384,24,,"23,5",,,"20,75",,,
   250 г
 Ужин,1352,75,,"94,8",,,"66,3",,,
  365 Дней Попкорн со Вкусом Сыра,531,21,,"70,5",,,15,,,
   150 г
  Ростик'c - KFC Крылышки Острые,821,54,,"24,3",,,"51,3",,,
   270 г
 Перекус/Другое,,,,,,,,,,

Всего,3250,"170,4",,"274,9",,,"138,45",,,
